               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.024726,           0.0097076,          0.00067594,             0.95969,             0.94356,             0.96983,             0.71604,             0.02144,           0.0038914,           0.0002769,           0.0064855,           0.0064855,           0.0064855
                  73,            0.024722,           0.0097474,          0.00063851,             0.95146,             0.94669,             0.97088,             0.71407,            0.021317,           0.0038831,            0.000228,            0.006436,            0.006436,            0.006436
                  74,            0.024287,            0.009667,          0.00070953,             0.95244,             0.94573,              0.9721,             0.71668,             0.02123,           0.0038964,          0.00025867,           0.0063865,           0.0063865,           0.0063865
                  75,            0.024227,           0.0097044,          0.00050098,             0.94878,              0.9481,             0.97139,             0.71859,            0.021022,           0.0038863,          0.00024886,            0.006337,            0.006337,            0.006337
                  76,            0.023944,           0.0095889,          0.00051464,             0.94796,              0.9504,             0.97404,             0.72205,            0.020802,           0.0038683,           0.0002403,           0.0062875,           0.0062875,           0.0062875
                  77,            0.024096,           0.0094766,          0.00053718,              0.9516,             0.94765,              0.9703,             0.71979,            0.020969,           0.0038739,          0.00019955,            0.006238,            0.006238,            0.006238
                  78,            0.024344,           0.0096299,          0.00070144,             0.94946,              0.9518,             0.97194,             0.71897,            0.020881,            0.003848,          0.00019089,           0.0061885,           0.0061885,           0.0061885
                  79,            0.024116,           0.0095437,          0.00068315,             0.94807,             0.95172,             0.97329,             0.72234,            0.020911,           0.0038568,          0.00014294,            0.006139,            0.006139,            0.006139
                  80,            0.023802,           0.0096173,          0.00061815,             0.95125,             0.94969,             0.97307,             0.72436,            0.020834,           0.0038506,          0.00013081,           0.0060895,           0.0060895,           0.0060895
                  81,            0.023855,            0.009408,          0.00052875,             0.95096,             0.95241,             0.97227,              0.7255,            0.020676,           0.0038454,          0.00013966,             0.00604,             0.00604,             0.00604
                  82,            0.024014,           0.0095891,          0.00053449,             0.95016,             0.95445,             0.97293,             0.72611,            0.020697,           0.0038435,          0.00018389,           0.0059905,           0.0059905,           0.0059905
                  83,            0.023917,           0.0095469,          0.00045567,             0.95149,             0.95403,             0.97396,             0.72769,            0.020753,           0.0038452,          0.00020554,            0.005941,            0.005941,            0.005941
                  84,            0.023819,           0.0095588,          0.00048631,             0.95314,             0.95482,             0.97357,             0.72801,            0.020796,           0.0038302,          0.00014399,           0.0058915,           0.0058915,           0.0058915
                  85,            0.023617,           0.0093935,          0.00046693,             0.95565,             0.94944,             0.97366,             0.72713,            0.020741,           0.0038226,          0.00016759,            0.005842,            0.005842,            0.005842
                  86,            0.023858,           0.0093026,          0.00047059,             0.95248,             0.95068,             0.97445,             0.72632,            0.020764,           0.0038182,          0.00015544,           0.0057925,           0.0057925,           0.0057925
                  87,            0.023626,           0.0093762,          0.00047253,             0.95462,             0.94939,             0.97341,             0.72446,            0.020688,           0.0038252,          0.00015026,            0.005743,            0.005743,            0.005743
                  88,            0.023373,           0.0093702,           0.0003954,             0.95149,             0.95292,             0.97382,             0.72631,            0.020567,           0.0038321,          0.00014647,           0.0056935,           0.0056935,           0.0056935
